ID,Resturant_Name,Location,Latitude,Longitude,Rating,No_of_votes,True_rating
9261,Wok Paper Scissors,Koramangala 5th Block,12.93414822,77.6165729,4.4,1341,0.353778628
11333,Tawa Fresh,Hennur,13.03915337,77.64154661,3.4,12,0.003889254
9302,Foodiction-The Garage Cafe,BTM,12.91080664,77.60995422,3.6,26,0.007615858
9550,Java City,Jayanagar,12.93504422,77.58296784,2.5,146,0.038952341
9649,Bhavani Restaurant,Banaswadi,13.02051802,77.65667059,3.6,60,0.016561622
10658,Foodies Express,Electronic City,12.84692967,77.68085003,3.7,118,0.031843569
10209,Desi Khana,"Varthur Main Road, Whitefield",12.95606271,77.73188677,3.6,170,0.045503797
10623,Thalis Of India,Indiranagar,12.97212477,77.63729397,3.2,11,0.003583089
9621,Jalsa,Banashankari,12.9261906,77.56450888,4,706,0.186617234
11083,Pure & Natural,Jayanagar,12.9243139,77.57799268,3.8,202,0.053966394
9400,Chetty's Corner,Basavanagudi,12.95107006,77.57761013,0,2,0.000526221
10538,Kaka Food Corner,Whitefield,12.967461,77.70392,3.5,69,0.018908091
8113,Hotel Junior Kuppanna,HSR,12.91339488,77.63531148,3.1,243,0.064603241
9963,Kritunga Restaurant,Electronic City,12.84184528,77.64641851,3.8,378,0.100273874
9627,Five Star Chicken,Brookefield,12.9642324,77.71791145,3.6,170,0.045503797
8705,Mark,HSR,12.8995305,77.6501397,3.5,17,0.005226335
8606,Sri Nanjundeshwara Mallappar's Bakery,Kengeri,12.9281668,77.4833226,0,1,0.000263111
10692,GKT Biryani World,HSR,12.91313246,77.63533562,3.6,61,0.016824732
10604,Biryani Foodies,Koramangala 5th Block,12.93458,77.619923,0,2,0.000526221
9026,Munchies,Brigade Road,12.96784797,77.60597583,3.8,53,0.014762901
8578,Desi Adda,BTM,12.91717916,77.60538608,3.2,21,0.006214196
9805,Dab-Dial a Biryani,Koramangala 5th Block,12.933648,77.622159,0,2,0.000526221
9734,Sarah's,Rammurthy Nagar,13.01102587,77.66784836,3.8,36,0.01029002
10629,Yeruva Biriyani,Electronic City,12.847418,77.6808477,3.6,37,0.010510076
8314,Fish And Dish,JP Nagar,12.86663474,77.58102726,3.5,15,0.004700114
10267,Sotang's,Rajarajeshwari Nagar,12.90279011,77.5211798,3.1,26,0.007508222
8128,Ooty Chocolates,Koramangala 4th Block,12.93507821,77.62460846,4.1,148,0.039822998
10270,STTYTT,Koramangala 4th Block,12.93266854,77.62503443,0,0,0
8248,BBQ Ride 46,BTM,12.913546,77.610086,0,3,0.000789332
8257,Dilli Da Dhaba,Rajarajeshwari Nagar,12.91667786,77.49987569,3.9,530,0.140288226
11164,Royal Biryani Kitchen,BTM,12.924057,77.618003,3.4,8,0.002836812
11021,4 Seasons Restaurant,Kalyan Nagar,13.02558995,77.63723832,3.6,388,0.102861927
11185,Kulfi Point,Indiranagar,12.97818632,77.63331156,3.3,5,0.002025952
11188,Eatery Have U Been,BTM,12.91310011,77.61004407,3.5,29,0.008383663
11232,Punjab Bistro,Koramangala 7th Block,12.934347,77.612888,4.5,308,0.082006817
10998,Bombay Kulfi,JP Nagar,12.89385429,77.58158918,3.6,36,0.010246965
11237,Indori Chatorey,BTM,12.93276958,77.60942113,2.8,116,0.031123602
11321,Tap House Resto Bar,Electronic City,12.83254313,77.6542509,3.2,177,0.047259463
10925,New Krishna Sagar,Rammurthy Nagar,13.02142514,77.67861541,3.5,28,0.008120553
9794,Crunch Pizzas - Express Delivery,Indiranagar,12.9655416,77.6491091,3.1,218,0.058025474
10898,Sizzling Chinese Restaurant,Yelahanka,13.12124473,77.61527505,3.6,97,0.026296717
8023,Litti Twist,Hosur Road,12.933615,77.610602,4.1,93,0.025351911
11101,Funjabi,Church Street,12.9745868,77.6067458,3.4,138,0.037041201
9332,Lord of Combos,Marathahalli,12.955599,77.700142,0,3,0.000789332
9329,Imperial Restaurant,Marathahalli,12.95589607,77.71150634,3.6,401,0.106282366
9344,Nawab's Kitchen,Bellandur,12.921578,77.676093,0,2,0.000526221
9363,Innate,Hennur,13.03335298,77.63504695,0,3,0.000789332
11191,Midnight Mania,Marathahalli,12.95294362,77.70322368,4,553,0.146361299
11124,Mota Bawarchi,Indiranagar,12.982001,77.645685,4.5,22,0.006757161
10273,Bhavani Upahara,Bannerghatta Road,12.892144,77.594294,3.3,8,0.002815284
9711,Grills And Tandoor,Koramangala 5th Block,12.9345825,77.61992499,3.8,50,0.013973569
